Total_Provisioned_MW,Tier_A_MW,Tier_B1_MW,Tier_B2_MW,Reliability_A,Reliability_B1,Reliability_B2,LCOE_delivered,Curtailment_Annual_GWh,Energy_A_Annual_GWh,Energy_B1_Annual_GWh,Energy_B2_Annual_GWh,Energy_C_Annual_GWh,Total_Delivered_Annual_GWh,Objective_Value,Realized_Utilization
21.0,1.0,7.0,13.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,8.76,61.32,113.88,54.594131408404614,238.55413140840463,102.69541314084046,0.9077402260593783
21.0,1.0,8.0,12.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,8.76,70.08,105.12,54.450131408404616,238.41013140840462,105.30901314084045,0.9071922808538989
21.0,1.0,9.0,11.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,8.76,78.84,96.36,54.30613140840462,238.26613140840465,107.92261314084045,0.9066443356484195
21.0,1.0,10.0,10.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,8.76,87.6,87.6,54.16213140840461,238.12213140840464,110.53621314084046,0.90609639044294
21.0,1.0,11.0,9.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,8.76,96.36,78.84,54.018131408404614,237.97813140840464,113.14981314084045,0.9055484452374606
21.0,1.0,12.0,8.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,8.76,105.12,70.08,53.874131408404615,237.83413140840463,115.76341314084046,0.9050005000319811
21.0,1.0,13.0,7.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,8.76,113.88,61.32,53.73013140840462,237.69013140840462,118.37701314084046,0.9044525548265017
21.0,2.0,0.0,19.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,17.52,0.0,166.44,55.43413140840462,239.39413140840463,89.63941314084046,0.9109365730913418
21.0,2.0,1.0,18.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,17.52,8.76,157.68,55.29013140840461,239.25013140840463,92.25301314084045,0.9103886278858624
21.0,2.0,2.0,17.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,17.52,17.52,148.92,55.146131408404614,239.10613140840462,94.86661314084046,0.9098406826803829
