Tier_A_MW,Tier_B1_MW,Tier_B2_MW,Reliability_A,Reliability_B1,Reliability_B2,LCOE_delivered,Curtailment_Annual_GWh,Energy_A_Annual_GWh,Energy_B1_Annual_GWh,Energy_B2_Annual_GWh,Energy_C_Annual_GWh,Total_Delivered_Annual_GWh,Objective_Value,Realized_Utilization
2.0,4.0,1.0,100.0,100.0,100.0,258.9383497708809,489.51525581935414,17.52,35.04,8.76,0.0,61.32,45.552,0.11666666666666667
1.0,6.0,0.0,100.0,100.0,100.0,258.9383497708809,489.58133087408066,8.76,52.56,0.0,0.0,61.32,45.552,0.11666666666666667
3.0,2.0,2.0,100.0,100.0,100.0,258.9383497708809,489.429853884792,26.28,17.52,17.52,0.0,61.32,45.552,0.11666666666666667
0.0,6.0,2.0,100.0,100.0,100.0,226.57105604952082,479.46869820461296,0.0,52.56,17.52,0.0,70.08,43.8,0.13333333333333333
5.0,0.0,0.0,100.0,100.0,100.0,362.5136896792334,509.3547232644002,43.8,0.0,0.0,0.0,43.8,43.8,0.08333333333333333
4.0,0.0,2.0,100.0,100.0,100.0,302.0947413993611,499.4007332303338,35.04,0.0,17.52,0.0,52.56,42.048,0.1
2.0,4.0,0.0,100.0,100.0,100.0,302.0947413993611,499.5892558193542,17.52,35.04,0.0,0.0,52.56,42.048,0.1
3.0,2.0,1.0,100.0,100.0,100.0,302.0947413993611,499.50385388479197,26.28,17.52,8.76,0.0,52.56,42.048,0.1
1.0,4.0,2.0,100.0,100.0,100.0,258.9383497708809,489.58133087408066,8.76,35.04,17.52,0.0,61.32,40.296,0.11666666666666667
0.0,6.0,1.0,100.0,100.0,100.0,258.9383497708809,489.542698204613,0.0,52.56,8.76,0.0,61.32,40.29599999999999,0.11666666666666667
3.0,2.0,0.0,100.0,100.0,100.0,362.5136896792334,509.57785388479203,26.28,17.52,0.0,0.0,43.8,38.544,0.08333333333333333
4.0,0.0,1.0,100.0,100.0,100.0,362.5136896792334,509.47473323033375,35.04,0.0,8.76,0.0,43.8,38.544,0.08333333333333333
1.0,4.0,1.0,100.0,100.0,100.0,302.0947413993611,499.6553308740807,8.76,35.04,8.76,0.0,52.56,36.792,0.1
2.0,2.0,2.0,100.0,100.0,100.0,302.0947413993611,499.58925581935415,17.52,17.52,17.52,0.0,52.56,36.792,0.1
0.0,6.0,0.0,100.0,100.0,100.0,302.0947413993611,499.61669820461293,0.0,52.56,0.0,0.0,52.56,36.791999999999994,0.1
4.0,0.0,0.0,100.0,100.0,100.0,453.14211209904164,519.5487332303338,35.04,0.0,0.0,0.0,35.04,35.04,0.06666666666666667
1.0,4.0,0.0,100.0,100.0,100.0,362.5136896792334,509.72933087408063,8.76,35.04,0.0,0.0,43.8,33.288,0.08333333333333333
